symbol,expiry,strike,option_type,bid,ask,last,volume,open_interest,timestamp
NDX,20250919,23516.5,C,254.0,256.0,255.0,10,401,2025-08-27 20:57:09
NDX,20250919,23516.5,P,4.0,6.0,5.0,30,271,2025-08-27 20:57:09
NDX,20250919,23541.5,C,229.0,231.0,230.0,39,183,2025-08-27 20:57:09
NDX,20250919,23541.5,P,4.0,6.0,5.0,20,460,2025-08-27 20:57:09
NDX,20250919,23566.5,C,204.0,206.0,205.0,23,196,2025-08-27 20:57:09
NDX,20250919,23566.5,P,4.0,6.0,5.0,7,479,2025-08-27 20:57:09
NDX,20250919,23591.5,C,179.0,181.0,180.0,5,121,2025-08-27 20:57:09
NDX,20250919,23591.5,P,4.0,6.0,5.0,17,236,2025-08-27 20:57:09
NDX,20250919,23616.5,C,154.0,156.0,155.0,10,386,2025-08-27 20:57:09
NDX,20250919,23616.5,P,4.0,6.0,5.0,42,162,2025-08-27 20:57:09
NDX,20250919,23641.5,C,129.0,131.0,130.0,49,147,2025-08-27 20:57:09
NDX,20250919,23641.5,P,4.0,6.0,5.0,21,279,2025-08-27 20:57:09
NDX,20250919,23666.5,C,104.0,106.0,105.0,7,308,2025-08-27 20:57:09
NDX,20250919,23666.5,P,4.0,6.0,5.0,18,142,2025-08-27 20:57:09
NDX,20250919,23691.5,C,79.0,81.0,80.0,39,322,2025-08-27 20:57:09
NDX,20250919,23691.5,P,4.0,6.0,5.0,27,198,2025-08-27 20:57:09
NDX,20250919,23716.5,C,54.0,56.0,55.0,23,413,2025-08-27 20:57:09
NDX,20250919,23716.5,P,4.0,6.0,5.0,38,66,2025-08-27 20:57:09
NDX,20250919,23741.5,C,29.0,31.0,30.0,17,478,2025-08-27 20:57:09
NDX,20250919,23741.5,P,4.0,6.0,5.0,35,128,2025-08-27 20:57:09
NDX,20250919,23766.5,C,4.0,6.0,5.0,50,246,2025-08-27 20:57:09
NDX,20250919,23766.5,P,4.0,6.0,5.0,28,436,2025-08-27 20:57:09
NDX,20250919,23791.5,C,4.0,6.0,5.0,43,211,2025-08-27 20:57:09
NDX,20250919,23791.5,P,29.0,31.0,30.0,16,391,2025-08-27 20:57:09
NDX,20250919,23816.5,C,4.0,6.0,5.0,13,114,2025-08-27 20:57:09
NDX,20250919,23816.5,P,54.0,56.0,55.0,8,333,2025-08-27 20:57:09
NDX,20250919,23841.5,C,4.0,6.0,5.0,33,378,2025-08-27 20:57:09
NDX,20250919,23841.5,P,79.0,81.0,80.0,21,282,2025-08-27 20:57:09
NDX,20250919,23866.5,C,4.0,6.0,5.0,26,310,2025-08-27 20:57:09
NDX,20250919,23866.5,P,104.0,106.0,105.0,40,449,2025-08-27 20:57:09
NDX,20250919,23891.5,C,4.0,6.0,5.0,7,365,2025-08-27 20:57:09
NDX,20250919,23891.5,P,129.0,131.0,130.0,20,139,2025-08-27 20:57:09
NDX,20250919,23916.5,C,4.0,6.0,5.0,35,383,2025-08-27 20:57:09
NDX,20250919,23916.5,P,154.0,156.0,155.0,35,430,2025-08-27 20:57:09
NDX,20250919,23941.5,C,4.0,6.0,5.0,39,114,2025-08-27 20:57:09
NDX,20250919,23941.5,P,179.0,181.0,180.0,26,105,2025-08-27 20:57:09
NDX,20250919,23966.5,C,4.0,6.0,5.0,11,142,2025-08-27 20:57:09
NDX,20250919,23966.5,P,204.0,206.0,205.0,28,65,2025-08-27 20:57:09
NDX,20250919,23991.5,C,4.0,6.0,5.0,6,233,2025-08-27 20:57:09
NDX,20250919,23991.5,P,229.0,231.0,230.0,36,226,2025-08-27 20:57:09
NDX,20250919,24016.5,C,4.0,6.0,5.0,46,192,2025-08-27 20:57:09
NDX,20250919,24016.5,P,254.0,256.0,255.0,11,436,2025-08-27 20:57:09
